name,tel,fax,email,web,url,address,nature_of_business,executive_tel,executive_email,executive_name
RADIANT NEON & DESIGN PTE LTD,(65) 6333 6390,(65) 6441 3589,None,None,http://www.chemicalcluster.com.sg/company-detail/radiant-neon-ve-design-pte-ltd,"28A  Norris Road,  Singapore 208270",,,,
RAMBOLL ENVIRON SINGAPORE PTE LTD ,(65) 6469 9918,(65) 6369 9163,None,www.environcorp.com,http://www.chemicalcluster.com.sg/company-detail/ramboll-environ-singapore-pte-ltd,"21 Biopolis Road #06-01, Nucleos North Tower Singapore 138567",,,,
RAMO INDUSTRIES PTE LTD ,(65) 6515 8276,(65) 6515 8963 / (65) 6726 7315,ramoindustries@gmail.com,None,http://www.chemicalcluster.com.sg/company-detail/ramo-industries-pte-ltd,"Block 172  Ang Mo Kio Avenue 4 , #09-573,  Singapore 560172",,,,
RANGOON INSULATION PTE LTD ,(65) 6747 1524,(65) 6744 2345,None,None,http://www.chemicalcluster.com.sg/company-detail/rangoon-insulation-pte-ltd,"Block 1006  Eunos Avenue 7, #01-30,  Singapore 409577",,,,
RANSON PTE LTD,(65) 6223 3115,(65) 6223 3114,ranson@mbox2.singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/ranson-pte-ltd,"101 Cecil Street , #11-06 , Tong Eng Building Singapore 69533",,,,
RAP ENGINEERS & CONSULTANTS PTE LTD,(65) 6295 5282,(65) 6295 5705,ragu@cyberway.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/rap-engineers-ve-consultants-pte-ltd,"10 Ubi Crescent    , #03-37,  Singapore 408564",,,,
RAY SCIENTIFIC,(65) 6763 3316,None,None,None,http://www.chemicalcluster.com.sg/company-detail/ray-scientific,"25 Mandai Estate, #03-08, Innovation Place Singapore 729930",,,,
RAYCO TECHNOLOGIES PTE LTD,(65) 6280 0366,(65) 6284 1468,rayco@raycotechnologies.com,www.raycotechnologies.com / www.parker.com,http://www.chemicalcluster.com.sg/company-detail/rayco-technologies-pte-ltd,"Block 1020  Tai Seng Avenue , #07-3506 , Tai Seng Industrial Estate Singapore 534416",,,,
RAYMOND INTERNATIONAL PTE LTD,(65) 6276 3738,(65) 6276 3739,inquiry@raymondcom.com,www.raymondcom.com,http://www.chemicalcluster.com.sg/company-detail/raymond-international-pte-ltd,"Block 219  Henderson Road , #07-04,  Singapore 159556",,,,
RAYONG OLEFINS (SINGAPORE) PTE LTD,(65) 6221 5318,(65) 6221 5346,None,None,http://www.chemicalcluster.com.sg/company-detail/rayong-olefins-singapore-pte-ltd,"10 Anson Road, #24-10 , International Plaza Singapore 79903",,,,
PUTRA WATER TREATMENT PTE LTD ,(65) 6779 5011,(65) 6779 5112,None,None,http://www.chemicalcluster.com.sg/company-detail/putra-water-treatment-pte-ltd,"194 Pandan Loop , #05-02 , Pantech Industrial Complex Singapore 128383",,,,
PYRAMID FIRE PROTECTION PTE LTD ,(65) 6482 2366,(65) 6482 4866,None,None,http://www.chemicalcluster.com.sg/company-detail/pyramid-fire-protection-pte-ltd,"1 Ang Mo Kio Industrial Park 2A , #05-10,  Singapore 568049",,,,
PYRAMID MANUFACTURING INDUSTRIES PTE LTD,(65) 6862 1900,(65) 6862 2433,None,None,http://www.chemicalcluster.com.sg/company-detail/pyramid-manufacturing-industries-pte-ltd,"87 Tuas Avenue 1,  Singapore 639519",,,,
Q & M ENTERPRISES PTE LTD ,(65) 6898 2334,(65) 6898 4944,huali@qqm-sg.com / sales@qqm-sg.com,www.qqm-sg.com,http://www.chemicalcluster.com.sg/company-detail/q-ve-m-enterprises-pte-ltd,"36 Benoi Place ,  Singapore 629951",,,,
QA SYSTEMS PTE LTD,(65) 6259 9200,(65) 6259 0900,None,None,http://www.chemicalcluster.com.sg/company-detail/qa-systems-pte-ltd,"3 Pemimpin Drive , #07-03,  Singapore 576147",,,,
QAI CERTIFICATION PTE LTD,(65) 6342 1948,(65) 6342 1481,qat@pacific.net.sg,www.qai.co.uk,http://www.chemicalcluster.com.sg/company-detail/qai-certification-pte-ltd,"1 Brooke Road, #03-07 , Katong Plaza Singapore 429979",,,,
QIB FACILITIES MANAGEMENT PTE LTD,(65) 6316 6275,(65) 6896 5655,qibfm@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/qib-facilities-management-pte-ltd,"50 Toh Guan Road East, #06-01, Quek Industrial Building Singapore 608587",,,,
QIYE MARINE ENGINEERING PTE LTD ,(65) 6862 1053,(65) 6862 1509,sngai@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/qiye-marine-engineering-pte-ltd,"36 Tuas Basin Link,  Singapore 638770",,,,
QMT INDUSTRIAL & SAFETY PTE LTD,(65) 6295 6896,(65) 6295 6297,sales@qmtsafety.com,www.qmtsafety.com,http://www.chemicalcluster.com.sg/company-detail/qmt-industrial-ve-safety-pte-ltd,"36 Toh Guan Road East  , #01-40, Enterprise Hub     Singapore 60858",,,,
QSS SAFETY PRODUCTS (S) PTE LTD ,(65) 6745 2966,(65) 6841 2966,qss@qss-safety.com,www.qss-safety.com ,http://www.chemicalcluster.com.sg/company-detail/qss-safety-products-s-pte-ltd,"239 Ubi Avenue 4 , Intrepid Warehouse Complex Singapore 408821",,,,
QUADRANT EPP SINGAPORE PTE LTD ,(65) 6874 7311,(65) 6874 7211,sales@polyhisolidur.com.sg,www.quadrantepp.com ,http://www.chemicalcluster.com.sg/company-detail/quadrant-epp-singapore-pte-ltd,"15 West Coast Highway , #03-10 , Pasir Panjang Building Singapore 117861",,,,
QUICSEAL CONSTRUCTION CHEMICALS PTE LTD,(65) 6742 4466,(65) 6741 4666,sales_sg@quicseal.com,www.quicseal.com,http://www.chemicalcluster.com.sg/company-detail/quicseal-construction-chemicals-pte-ltd,"7 Eunos Avenue 8A , Eunos Industrial Estate Singapore 409460",,,,
QUINCANNON ASIA PTE LIMITED,(65) 6533 0069,(65) 6536 9381,None,None,http://www.chemicalcluster.com.sg/company-detail/quincannon-asia-pte-limited,"8 Cross Street  #09-06, PWC Building Singapore 48424",,,,
R K I BUILDING CONTRACTOR PTE LTD ,(65) 6392 4447,(65) 6392 2597,jai_rkgroup@yahoo.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/r-k-i-building-contractor-pte-ltd,"27A  Jurong Port Road, #01-09,  Singapore 619101",,,,
R K INSTRUMENTS (S) PTE LTD,(65) 6275 3398,(65) 6275 3387,rkqkk@singnet.com.sg,www.rkinstruments.com.sg,http://www.chemicalcluster.com.sg/company-detail/r-k-instruments-s-pte-ltd,"102F  Pasir Panjang Road, #03-10 , Citilink Warehouse Complex Singapore 118530",,,,
PU YEN TRADING PTE. LTD.,(65) 6262 6395,(65) 6264 2623,puyen@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/pu-yen-trading-pte-ltd,"9 Pandan Road, #03-02,  Singapore 609257",,,,
PUB CONSULTANTS PRIVATE LIMITED ,(65) 6326 2900,(65) 6326 2929,None,None,http://www.chemicalcluster.com.sg/company-detail/pub-consultants-private-limited,"80/82  Toh Guan Road East , #04-03 , The Toh Tuck Complex Singapore 608575",,,,
PULSETEC SYSTEMS SINGAPORE PTE LTD,(65) 6257 9294,(65) 6257 7923,Pulsetec_systems@yahoo.com.sg,www.pulsetec.com.sg,http://www.chemicalcluster.com.sg/company-detail/pulsetec-systems-singapore-pte-ltd,"Blk 22 Woodlands Link Industrial Estate   ,  Singapore 738734",,,,
PUMAS AUTOMATION & ROBOTICS PTE LTD,(65) 6278 3289,(65) 6278 7904,None,None,http://www.chemicalcluster.com.sg/company-detail/pumas-automation-ve-robotics-pte-ltd,"Block 1001  Jalan Bukit Merah , #06-01/10,  Singapore 159455",,,,
PUMPCO INTERNATIONAL PTE LTD ,(65) 6398 1762,(65) 6398 1761,sales@pumpco.com.sg,www.pumpcointl.com ,http://www.chemicalcluster.com.sg/company-detail/pumpco-international-pte-ltd,"30 Kallang Place , #06-16/17 , Kallang Basin Industrial Estate Singapore 339159",,,,
PUMPQUIP ENGINEERING PTE LTD,(65) 6748 3888,(65) 6748 8858,pumpquip@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/pumpquip-engineering-pte-ltd,"8 Kaki Bukit Road 2 Complex,  Singapore 417841",,,,
PUMPS & GENERAL PTE LTD,(65) 6456 7555,(65) 6459 7933,None,None,http://www.chemicalcluster.com.sg/company-detail/pumps-ve-general-pte-ltd,"Block 32  Sin Ming Drive , #01-339 , Sin Ming Industrial Estate Singapore 575706",,,,
PUMPSERVE DEWATERING PTE LTD ,(65) 6896 9870,(65) 6896 9050,None,None,http://www.chemicalcluster.com.sg/company-detail/pumpserve-dewatering-pte-ltd,"79 Tuas Avenue 1,  Singapore 639515",,,,
PUNJ LLOYD PTE LTD,(65) 6309 9040,(65) 6820 7652,asiapacific@punjlloyd.com,www.punjlloyd.com,http://www.chemicalcluster.com.sg/company-detail/punj-lloyd-pte-ltd,"60 Alexandra Terrace, #09-01, The Comtech (Lobby A) Singapore 118502",,,,
PURE CHEMICALS PTE LTD,(65) 6327 9426,(65) 6327 9473,None,www.pure-chemical.com,http://www.chemicalcluster.com.sg/company-detail/pure-chemicals-pte-ltd,"10 Anson Road #17-22, International Plaza Singapore 79903",,,,
PURECHEM ONYX PTE LTD,(65) 6861 6668,(65) 6861 5326,jacob@purechemonyx.com,None,http://www.chemicalcluster.com.sg/company-detail/purechem-onyx-pte-ltd,"7 Tuas Avenue 10   ,  Singapore 639131",,,,
PURECHEM VEOLIA ENVIRONMENTAL SERVICES PTE LTD,(65) 6861 6668,(65) 6861 3326,None,www.purechemveolia-es.sg,http://www.chemicalcluster.com.sg/company-detail/purechem-veolia-environmental-services-pte-ltd,"7 Tuas Avenue 10,  Singapore 639131",,,,
PUREFLOW PTE LTD,(65) 6271 9476,(65) 6271 9475,dave@pureflow.com.sg,www.pureflow.com.sg,http://www.chemicalcluster.com.sg/company-detail/pureflow-pte-ltd,"167 Jalan Bukit Merah, #01-10, Connection One Tower 5 Singapore 150167",,,,
PURIDEA PTE LTD ,(65) 6748 9639,(65) 6748 7836,None,None,http://www.chemicalcluster.com.sg/company-detail/puridea-pte-ltd,"51 Ubi Avenue 1, #05-05 , Paya Ubi Industrial Park Singapore 408933",,,,
PUTERA RESOURCES PTE LTD,(65) 6362 2218,(65) 6366 0201,puterar@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/putera-resources-pte-ltd,"30 Marsiling Industrial Estate Road 5 , #04-06C, Widefield Industrial Building Singapore 739211",,,,
PROMINENT FLUID CONTROLS (F. E.) PTE LTD,(65) 6747 4935,(65) 6745 2240,pfc@prominent.com.sg,www.prominent.com,http://www.chemicalcluster.com.sg/company-detail/prominent-fluid-controls-f-e-pte-ltd,"50 Kallang Pudding Road, #08-01 , Golden Wheel Industrial Building Singapore 349326",,,,
PROMOTER GROUP,(65) 6266 3016,(65) 6266 3056,promoter@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/promoter-group,"21/23  Kian Teck Road,  Singapore 628773",,,,
PROMPTECH ENVIRONMENTAL (S) PTE LTD,(65) 6261 0030,None,None,None,http://www.chemicalcluster.com.sg/company-detail/promptech-environmental-s-pte-ltd,"68 Kian Teck Road,  Singapore 628797",,,,
PROSER (S) PTE LTD ,(65) 6280 0470,(65) 6280 1076,None,None,http://www.chemicalcluster.com.sg/company-detail/proser-s-pte-ltd,"Block 970  Toa Payoh North , #05-09 , Toa Payoh North Industrial Estate Singapore 318992",,,,
PROSPER MARINE PTE LTD,(65) 6261 2108,(65) 6262 3669,None,None,http://www.chemicalcluster.com.sg/company-detail/prosper-marine-pte-ltd,"71 Toh Guan Road East , #06-02 , TCH Tech Centre Singapore 608598",,,,
PROSRI ENGINEERING PTE LTD,(65) 6268 3701,(65) 6268 5781,prosri@pacific.net.sg,None,http://www.chemicalcluster.com.sg/company-detail/prosri-engineering-pte-ltd,"352 Jalan Boon Lay   , Jurong Industrial Estate     Singapore 619531",,,,
PROSTAR CONTRACT SERVICES PTE LTD ,(65) 6368 5905,(65) 6368 7679,info@prostar.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/prostar-contract-services-pte-ltd,"6 Sungei Kadut Street 2,  Singapore 729228",,,,
PROTEAM HO & CHANG CONSULTING ENGINEERS,(65) 6348 8638,(65) 6348 8122,hochang@pacific.net.sg,None,http://www.chemicalcluster.com.sg/company-detail/proteam-ho-ve-chang-consulting-engineers,"Blk 86 Marine Parade Central  ,  Singapore 440086",,,,
PROTECH SURVIVAL PRODUCTS PTE LTD,(65) 6448 6166,(65) 6448 0012,protech@pacific.net.sg,www.protech-survival.com,http://www.chemicalcluster.com.sg/company-detail/protech-survival-products-pte-ltd,"Bik 3011 Bedok North Avenue 4,  Singapore 489977",,,,
PROTEK CHEMICALS & ENGINEERING PTE LTD,(65) 6861 8282,(65) 6861 6161,protek@pacific.net.sg,None,http://www.chemicalcluster.com.sg/company-detail/protek-chemicals-ve-engineering-pte-ltd,"10 & 12 Tuas Avenue 9 ,  Singapore 639173",,,,
PROTOOL ENGINEERING ENTERPRISES PTE LTD ,(65) 6563 9767,(65) 6566 9030,None,None,http://www.chemicalcluster.com.sg/company-detail/protool-engineering-enterprises-pte-ltd,"Block 2020  Bukit Batok Street 23 , #02-250,  Singapore 659525",,,,
PRUFTECHNIK S.E.A PTE LTD,(65) 6382 0662,(65) 6382 0776,office@pruftechnik.com.sg,www.pruftechnik.com.sg,http://www.chemicalcluster.com.sg/company-detail/pruftechnik-s-e-a-pte-ltd,"150 Kampong Ampat    , #06-02,  Singapore 368324",,,,
PSE SAFETY AND INDUSTRIAL SERVICES,(65) 6260 1675,(65) 6260 1830,sales@psesafety.com.sg,www.psesafety.com.sg/,http://www.chemicalcluster.com.sg/company-detail/pse-safety-and-industrial-services,"48 MacTaggart Road , #11-02, Mae Building     Singapore 368088",,,,
PT ICI PAINTS INDONESIA ,6221 5290 19999,6221 5290 0932,None,www.dulux.co.id ,http://www.chemicalcluster.com.sg/company-detail/pt-ici-paints-indonesia,Sequis Plaza 5th Floor Jl Jend Sudirman Kav 25 Jakarta 12920   Singapore 0,,,,
PT JOENOES IKAMULYA,(62) 21 460 2447,(62) 21 460 5705,mjoenoes@yuri-dee.com,www.yuri-dee.com,http://www.chemicalcluster.com.sg/company-detail/pt-joenoes-ikamulya,"No. 43  Kawasna Industri Pulogadung Indonesia ,  Singapore 13930",,,,
PRO-TECHNOLOGY PTE LTD ,(65) 6288 2727,(65) 6288 2007,None,None,http://www.chemicalcluster.com.sg/company-detail/pro-technology-pte-ltd,"568 MacPherson Road , #01-01 , MacPherson Green Singapore 368236",,,,
PROACT CHEMICALS (S) PTE LTD,(65) 6765 5641,None,None,None,http://www.chemicalcluster.com.sg/company-detail/proact-chemicals-s-pte-ltd,"5 Toh Guan Road East, #04-00, Complex 2 Freight Links Express Distripark Singapore 608831",,,,
PROCEMS ASIA-PACIFIC PTE LTD,(65) 6356 9160,(65) 6356 9161,None,www.PROCEMS.com ,http://www.chemicalcluster.com.sg/company-detail/procems-asia-pacific-pte-ltd,"448 Tagore Industrial Avenue,  Singapore 787819",,,,
PROCESS + PACK,(65) 6271 1643,(65) 6271 6055,None,None,http://www.chemicalcluster.com.sg/company-detail/process-pack,"1092 Lower Delta Road , #05-16 , Tiong Bahru Industrial Estate Singapore 169203",,,,
PROCESS INSPECTION TESTING AND CONSULTANCY PTE LTD,(65) 6898 5225,(65) 6898 5156,ndt@hslcpl.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/process-inspection-testing-and-consultancy-pte-ltd,"5 Gul Lane,  Singapore 629404",,,,
PROCHEM PIPELINE PRODUCTS (S) PTE LTD ,(65) 6298 7887,(65) 6298 7667,None,None,http://www.chemicalcluster.com.sg/company-detail/prochem-pipeline-products-s-pte-ltd,"69 Joo Koon Circle,  Singapore 629084",,,,
PROCTER & GAMBLE INTERNATIONAL OPERATIONS SA SINGAPORE BRANCH,(65) 6712-2123,None,None,www.pg.com,http://www.chemicalcluster.com.sg/company-detail/procter-gamble-international-operations-sa-singapore-branch,70 Biopolis Street Singapore Innovation Center Singapore 138547,,,,
PRODRIVE INDUSTRIES INTERNATIONAL PTE LTD,(65) 6296 2928,(65) 6298 2296,prodrive@singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/prodrive-industries-international-pte-ltd,"371 Beach Road    , #07-05, Keypoint      Singapore 199597",,,,
PROFESSIONAL COATING PTE LTD ,(65) 6863 3248,(65) 6863 3167,None,None,http://www.chemicalcluster.com.sg/company-detail/professional-coating-pte-ltd,"60 Tuas Road,  Singapore 638501",,,,
PROFESSIONAL TESTING SERVICES PTE LTD ,(65) 6778 1271,(65) 6779 3621,None,None,http://www.chemicalcluster.com.sg/company-detail/professional-testing-services-pte-ltd,"32 Kian Teck Road,  Singapore 628779",,,,
PROGRESSIVE INDUSTRIAL EQUIPMENT CO ,(65) 6282 7722,(65) 6284 4183,None,None,http://www.chemicalcluster.com.sg/company-detail/progressive-industrial-equipment-co,"24 New Industrial Road, #02-08/09,  Singapore 536210",,,,
PROGRESSIVE SYSTEMS & ENGINEERING PTE LTD ,(65) 6745 2619,(65) 6746 6453,None,None,http://www.chemicalcluster.com.sg/company-detail/progressive-systems-ve-engineering-pte-ltd,"Block 1008  Eunos Avenue 7, #01-05,  Singapore 409579",,,,
PROJECT MARINE ENGINEERING PTE LTD,(65) 6861 3200,(65) 6861 6463,None,None,http://www.chemicalcluster.com.sg/company-detail/project-marine-engineering-pte-ltd,"19 Benoi Place ,  Singapore 629936",,,,
PROMAN PROCESS CONSULTANT PTE LTD,(65) 8125 9277,(65) 6225 6530,projects@ppcp.com.sg,www.ppcpl.com.sg,http://www.chemicalcluster.com.sg/company-detail/proman-process-consultant-pte-ltd,"150 Changi Road, #04-04, Guthrie Building Singapore 419973",,,,
PROMAT BUILDING SYSTEM PTE LTD,(65) 6776 7635,(65) 6776 7624,thomaswongyt@promat.com.sg,www.promat-ap.sg,http://www.chemicalcluster.com.sg/company-detail/promat-building-system-pte-ltd,"10 Science Park Road, #03-14,  Singapore 117684",,,,
PRAMAC (ASIA) PTE LTD,(65) 6558 7888,(65) 6558 7878,sales-sg@gmiasia.com,www.gmiasia.com ,http://www.chemicalcluster.com.sg/company-detail/pramac-asia-pte-ltd,"2 Tuas View Place , #01-01,  Singapore 637431",,,,
PRAXAIR SINGAPORE PTE LTD,(65) 6258 7522,None,None,None,http://www.chemicalcluster.com.sg/company-detail/praxair-singapore-pte-ltd,"51 Goldhill Plaza  #08-12/01,  Singapore 308900",,,,
PRECICON D&C PTE LTD,(65) 6897 7008,(65) 6897 8890,greenbiz@precicon.com.sg,www.precicon.com.sg,http://www.chemicalcluster.com.sg/company-detail/precicon-d-ve-c-pte-ltd,"27 Gul Avenue,  Singapore 629667",,,,
PRECISION CONTROL PTE LTD,(65) 6285 3011,(65) 6281 3837,None,None,http://www.chemicalcluster.com.sg/company-detail/precision-control-pte-ltd,"9 Harrison Road , #01-01,  Singapore 369651",,,,
PREDAMCO PTE LTD ,(65) 6863 2803,(65) 6863 2805,None,None,http://www.chemicalcluster.com.sg/company-detail/predamco-pte-ltd,"49 Gul Road,  Singapore 629360",,,,
PREMIER G & U LOGISTICS PTE LTD,(65) 6668 4488,(65) 6668 4422,andrewann@gu-logistics.com,www.pgnul.com,http://www.chemicalcluster.com.sg/company-detail/premier-g-ve-u-logistics-pte-ltd,"No. 1  Tuas Avenue 4,  Singapore 639382",,,,
PREMIER PETMCHEMIC,(65) 6742 4321,(65) 6744 1755,None,None,http://www.chemicalcluster.com.sg/company-detail/premier-petmchemic,"621 Aljunied Road , #04-04 , Lipo Factory Building Singapore 389834",,,,
PRESCO SCAFFOLDING & SERVICES PTE LTD,(65) 6793 7255,(65) 6793 7256,presco@mbox5.singnet.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/presco-scaffolding-ve-services-pte-ltd,"9 Pioneer Sector 1,  Singapore 638993",,,,
PRESSCRETE ENGINEERING PTE LTD,(65) 6542 9315,(65) 6545 7880,pcrete_engg@presscrete.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/presscrete-engineering-pte-ltd,"31 Changi South Avenue 2,  Singapore 486478",,,,
PRESTIGE CONTAINER LINE PTE LTD,(65) 6297 7253,(65) 6297 7254,None,None,http://www.chemicalcluster.com.sg/company-detail/prestige-container-line-pte-ltd,"100 Jalan Sultan #09-16, Sultan Plaza Singapore 199001",,,,
PRIDE-CHEM INDUSTRIES PTE LTD,(65) 6861 7641,(65) 6861 1055,pciind@singnet.com.sg,http://pride-chem.com,http://www.chemicalcluster.com.sg/company-detail/pride-chem-industries-pte-ltd,2 Tuas View Lane Singapore 637657," Manufacturing of Ammonium Hydroxide, Copper Oxide, PolyAluminium Chloride, Blending of Acid And Alkaline Base Products And Trading of Anhydrous Ammonia. Service For Ammonia Purging For Tanks & Pipe Lines.",None,None,Mr Alex Yuen / Mr Vincent Teo 
PRIME PRODUCTS PTE LTD,(65) 6863 3200,(65) 6863 0277,None,None,http://www.chemicalcluster.com.sg/company-detail/prime-products-pte-ltd,"38 Gul Avenue, Jurong Industrial Estate Singapore 629678",,,,
PRIORITY PETROLEUM (S) PTE LTD,(65) 6779 1234,(65) 6872 3132,None,None,http://www.chemicalcluster.com.sg/company-detail/priority-petroleum-s-pte-ltd,"196 Pandan Loop , #02-09 , Pantech Business Hub Singapore 128384",,,,
PRO-ACE POWER & CONTROL PTE LTD ,(65) 6795 5885,(65) 6795 5995,pro_ace@pacific.net.sg,None,http://www.chemicalcluster.com.sg/company-detail/pro-ace-power-ve-control-pte-ltd,"48 Toh Guan Road East , #06-128, Enterprise Hub Singapore 608586",,,,
PRO-PACK MATERIALS PTE LTD ,(65) 6354 1511,(65) 6354 1711,sales@pro-pack.com.sg,None,http://www.chemicalcluster.com.sg/company-detail/pro-pack-materials-pte-ltd,"Blk 970 Toa Payoh North, #04-18 , Toa Payoh Industrial Estate Singapore 318992",,,,
POLYMER TECHNOLOGIES PTE LTD ,(65) 6863 8225,(65) 6863 8219,None,None,http://www.chemicalcluster.com.sg/company-detail/polymer-technologies-pte-ltd,"44 Tech Park Crescent,  Singapore 638095",,,,
